scouts,rescue,seed,step,rescued_victims,detected_victims,explored_fraction,collisions
3,2,4,1000,11,13,0.8467532467532467,0
3,2,4,1500,14,15,0.8644155844155844,0
4,2,0,500,7,12,0.6545454545454545,0
4,2,0,1000,10,13,0.7968831168831169,0
4,2,0,1500,12,15,0.8628571428571429,0
4,2,0,2000,13,15,0.88,0
4,2,1,500,6,12,0.7236363636363636,0
4,2,1,1000,8,14,0.7646753246753247,0
4,2,1,1500,12,15,0.8737662337662337,0
4,2,1,2000,13,15,0.8753246753246753,0
4,2,1,2500,14,15,0.8836363636363637,0
4,2,2,500,4,10,0.6124675324675325,0
4,2,2,1000,8,12,0.7506493506493507,0
4,2,2,1500,11,13,0.8727272727272727,0
4,2,2,2000,12,15,0.8919480519480519,0
4,2,2,2500,13,15,0.8976623376623377,0
4,2,2,3000,14,15,0.9049350649350649,0
4,2,2,3500,14,15,0.9054545454545454,0
4,2,3,500,8,10,0.6051948051948052,0
4,2,3,1000,11,12,0.6981818181818182,0
4,2,3,1500,12,13,0.8722077922077922,0
4,2,3,2000,13,14,0.8877922077922078,0
4,2,3,2500,13,14,0.8903896103896104,0
4,2,3,3000,14,15,0.8919480519480519,0
4,2,4,500,5,13,0.8114285714285714,0
4,2,4,1000,11,14,0.8446753246753247,0
4,2,4,1500,13,15,0.8898701298701299,0
4,2,4,2000,13,15,0.8940259740259741,0
4,2,4,2500,14,15,0.8981818181818182,0
0,3,0,500,6,6,0.36883116883116884,0
0,3,0,1000,7,7,0.627012987012987,0
0,3,0,1500,7,8,0.6753246753246753,0
0,3,0,2000,11,11,0.8311688311688312,0
0,3,0,2500,11,13,0.8685714285714285,0
0,3,0,3000,13,13,0.8748051948051948,0
0,3,0,3500,14,14,0.8945454545454545,0
0,3,1,500,7,8,0.6498701298701298,0
0,3,1,1000,8,9,0.7776623376623376,0
0,3,1,1500,9,9,0.8093506493506494,0
0,3,1,2000,9,9,0.8244155844155844,0
0,3,1,2500,10,10,0.8285714285714286,0
0,3,1,3000,12,12,0.8628571428571429,0
0,3,1,3500,12,14,0.867012987012987,0
0,3,2,500,5,7,0.5906493506493506,0
0,3,2,1000,7,7,0.6924675324675325,0
0,3,2,1500,7,7,0.7246753246753247,0
0,3,2,2000,8,9,0.8202597402597402,0
0,3,2,2500,11,11,0.8711688311688311,0
0,3,2,3000,11,12,0.8862337662337663,0
0,3,2,3500,12,12,0.8877922077922078,0
0,3,2,4000,14,14,0.8893506493506493,0
0,3,3,500,5,7,0.4192207792207792,0
0,3,3,1000,8,8,0.4587012987012987,59
0,3,3,1500,10,10,0.6264935064935065,59
0,3,3,2000,12,12,0.8166233766233766,59
0,3,3,2500,12,12,0.8342857142857143,59
0,3,3,3000,13,13,0.8623376623376623,59
0,3,3,3500,14,14,0.8649350649350649,59
0,3,4,500,4,6,0.5916883116883117,0
0,3,4,1000,7,7,0.7412987012987013,0
0,3,4,1500,8,8,0.7605194805194805,0
0,3,4,2000,9,9,0.827012987012987,0
0,3,4,2500,11,12,0.8701298701298701,0
0,3,4,3000,13,13,0.8763636363636363,0
0,3,4,3500,13,15,0.8846753246753247,0
1,3,0,500,8,8,0.4851948051948052,0
1,3,0,1000,9,9,0.7132467532467532,0
1,3,0,1500,10,11,0.8244155844155844,0
1,3,0,2000,11,11,0.8535064935064935,0
1,3,0,2500,11,12,0.8561038961038961,0
1,3,0,3000,12,13,0.8633766233766234,0
1,3,0,3500,12,14,0.8877922077922078,0
1,3,0,4000,14,15,0.8903896103896104,0
1,3,1,500,8,8,0.6410389610389611,0
1,3,1,1000,8,9,0.7854545454545454,0
1,3,1,1500,8,9,0.8057142857142857,0
1,3,1,2000,11,11,0.8503896103896104,0
1,3,1,2500,11,12,0.8555844155844156,0
1,3,1,3000,12,12,0.8561038961038961,0
1,3,1,3500,14,14,0.8571428571428571,0
1,3,1,4000,14,14,0.8571428571428571,0
1,3,2,500,7,9,0.6457142857142857,0
1,3,2,1000,10,11,0.6898701298701299,0
1,3,2,1500,11,11,0.7101298701298702,0
1,3,2,2000,12,12,0.8524675324675325,0
1,3,2,2500,12,12,0.8576623376623377,0
1,3,2,3000,12,13,0.8701298701298701,0
1,3,2,3500,13,14,0.8924675324675325,0
1,3,2,4000,14,15,0.9054545454545454,0
1,3,3,500,5,7,0.5215584415584416,0
1,3,3,1000,10,10,0.6223376623376623,0
1,3,3,1500,10,11,0.7636363636363637,0
1,3,3,2000,12,12,0.8633766233766234,0
1,3,3,2500,13,13,0.8857142857142857,0
1,3,3,3000,14,14,0.8903896103896104,0
1,3,3,3500,14,15,0.8909090909090909,0
1,3,4,500,3,6,0.638961038961039,0
