scouts,rescue,seed,step,rescued_victims,detected_victims,explored_fraction,collisions
2,1,4,4000,14,15,0.8961038961038961,0
3,1,0,500,4,10,0.49558441558441557,0
3,1,0,1000,5,12,0.7501298701298701,0
3,1,0,1500,8,13,0.8483116883116883,0
3,1,0,2000,10,15,0.8727272727272727,0
3,1,0,2500,11,15,0.8789610389610389,0
3,1,0,3000,13,15,0.8815584415584415,0
3,1,0,3500,14,15,0.8846753246753247,0
3,1,1,500,3,11,0.7018181818181818,0
3,1,1,1000,5,12,0.7719480519480519,0
3,1,1,1500,8,12,0.8218181818181818,0
3,1,1,2000,10,13,0.8488311688311688,0
3,1,1,2500,11,14,0.8503896103896104,0
3,1,1,3000,13,15,0.8680519480519481,0
3,1,1,3500,14,15,0.8690909090909091,0
3,1,2,500,3,10,0.5807792207792207,0
3,1,2,1000,5,12,0.7324675324675325,0
3,1,2,1500,8,12,0.8181818181818182,0
3,1,2,2000,10,14,0.8753246753246753,0
3,1,2,2500,11,14,0.8903896103896104,0
3,1,2,3000,12,15,0.8997402597402597,0
3,1,2,3500,12,15,0.9012987012987013,0
3,1,2,4000,14,15,0.9012987012987013,0
3,1,2,4500,14,15,0.9012987012987013,0
3,1,3,500,3,8,0.5309090909090909,0
3,1,3,1000,8,10,0.6711688311688312,0
3,1,3,1500,8,13,0.84,44
3,1,3,2000,8,14,0.8784415584415585,329
3,1,3,2500,8,14,0.8789610389610389,633
3,1,3,3000,8,15,0.8815584415584415,857
3,1,3,3500,8,15,0.8820779220779221,1085
3,1,3,4000,8,15,0.8825974025974026,1107
3,1,3,4500,8,15,0.8825974025974026,1271
3,1,4,500,1,9,0.7532467532467533,0
3,1,4,1000,6,12,0.7828571428571428,0
3,1,4,1500,8,15,0.852987012987013,0
3,1,4,2000,11,15,0.8883116883116883,0
3,1,4,2500,13,15,0.8903896103896104,0
3,1,4,3000,14,15,0.8914285714285715,0
4,1,0,500,4,9,0.5012987012987012,0
4,1,0,1000,6,12,0.734025974025974,0
4,1,0,1500,8,12,0.8425974025974026,0
4,1,0,2000,10,14,0.8638961038961039,0
4,1,0,2500,12,15,0.8971428571428571,0
4,1,0,3000,13,15,0.8992207792207793,0
4,1,0,3500,14,15,0.9023376623376623,0
4,1,1,500,4,11,0.7225974025974026,0
4,1,1,1000,5,14,0.775064935064935,0
4,1,1,1500,7,15,0.8701298701298701,0
4,1,1,2000,11,15,0.8820779220779221,0
4,1,1,2500,13,15,0.8841558441558441,0
4,1,1,3000,14,15,0.8851948051948052,0
4,1,2,500,3,10,0.6,0
4,1,2,1000,6,12,0.7594805194805195,0
4,1,2,1500,9,14,0.8722077922077922,0
4,1,2,2000,10,14,0.8820779220779221,0
4,1,2,2500,11,15,0.8893506493506493,0
4,1,2,3000,11,15,0.8893506493506493,0
4,1,2,3500,13,15,0.8976623376623377,8
4,1,2,4000,14,15,0.8992207792207793,8
4,1,2,4500,14,15,0.8992207792207793,8
4,1,3,500,3,8,0.5605194805194805,0
4,1,3,1000,5,12,0.7018181818181818,0
4,1,3,1500,7,12,0.8472727272727273,0
4,1,3,2000,11,13,0.8498701298701299,0
4,1,3,2500,12,14,0.867012987012987,0
4,1,3,3000,13,15,0.8763636363636363,0
4,1,3,3500,14,15,0.8805194805194805,0
4,1,4,500,2,12,0.8051948051948052,0
4,1,4,1000,5,14,0.8415584415584415,0
4,1,4,1500,10,15,0.8867532467532467,0
4,1,4,2000,10,15,0.8883116883116883,0
4,1,4,2500,11,15,0.8893506493506493,0
4,1,4,3000,13,15,0.8898701298701299,0
4,1,4,3500,14,15,0.8909090909090909,0
