scouts,rescue,total_robots,seed,rescued_victims,detected_victims,explored_fraction,collisions,repeated_visits,mean_localization_error,completion_time,mission_completed
0,2,2,2,12,13,0.8420779220779221,0,3,30.905927450060855,83.33333333333333,False
0,2,2,3,15,15,0.8696103896103896,0,5,18.752778823648356,65.66666666666667,True
0,2,2,4,15,15,0.8867532467532467,0,1,30.19629929594349,70.91666666666667,True
1,2,3,0,15,15,0.8872727272727273,2,8,22.449493758663923,54.949999999999996,True
1,2,3,1,12,14,0.8628571428571429,0,3,18.41780810847057,83.33333333333333,False
1,2,3,2,15,15,0.8727272727272727,0,6,19.911513037431313,68.73333333333333,True
1,2,3,3,15,15,0.8784415584415585,1,4,19.19550525990687,67.16666666666667,True
1,2,3,4,15,15,0.8789610389610389,0,3,24.50631951014059,38.0,True
2,2,4,0,15,15,0.8992207792207793,0,7,24.70275033226374,75.06666666666666,True
2,2,4,1,15,15,0.8862337662337663,0,7,12.82131708576598,62.03333333333333,True
2,2,4,2,15,15,0.8789610389610389,0,5,43.398313976319116,50.56666666666666,True
2,2,4,3,15,15,0.8841558441558441,0,5,18.315962740125133,39.85,True
2,2,4,4,15,15,0.9012987012987013,0,7,37.676024328941125,58.199999999999996,True
3,2,5,0,15,15,0.9075324675324675,0,7,31.732360185190448,67.35,True
3,2,5,1,15,15,0.8711688311688311,0,8,18.746115078833107,36.166666666666664,True
3,2,5,2,15,15,0.8914285714285715,0,5,38.53258328324596,56.916666666666664,True
3,2,5,3,15,15,0.8789610389610389,0,7,9.873046404151161,49.55,True
3,2,5,4,15,15,0.8680519480519481,0,5,29.72650804171465,31.3,True
4,2,6,0,15,15,0.9049350649350649,0,8,26.430582379453792,40.85,True
4,2,6,1,15,15,0.8857142857142857,0,6,12.736414158820418,43.333333333333336,True
4,2,6,2,15,15,0.9075324675324675,0,4,44.037362840689795,65.03333333333333,True
4,2,6,3,15,15,0.8919480519480519,0,9,15.72313801563042,50.483333333333334,True
4,2,6,4,15,15,0.8992207792207793,0,9,30.870834266082195,48.95,True
